StudySession,LogKBI,LogPUB,GMM_Threshold_LogIKI,gmm_iki_auto,gmm_iki_cons,Quantile_iki
KTHJ08-P14_T3,4.844187086458591,5.393627546352362,5.434377845170321,4.901996477832932,5.574589152506938,5.387927563059648
KTHJ08-P08_T2,4.890349128221754,5.6240175061873385,5.190623016498732,5.467038288735161,7.012690736732592,5.3494771630982525
KTHJ08-P09_T2,4.927253685157205,5.5093883366279774,5.305099804547722,3.659448508046503,5.495166873221054,5.423846262929124
KTHJ08-P24_T1,5.017279836814924,5.955837369464831,5.598368876985511,5.149991989713176,5.795681502497241,5.537334267018537
KTHJ08-P09_T1,4.976733742420574,5.5134287461649825,5.555315469798822,5.159255925708777,5.768714701136995,5.438079308923196
KTHJ08-P22_T2,4.812184355372417,5.170483995038151,5.102047218200145,4.886315619872172,5.485703793611953,5.293304824724492
KTHJ08-P17_T1,4.867534450455582,5.25227342804663,5.242789397503625,5.203659548602475,5.742999908267958,5.4116460518550396
KTHJ08-P16_T1,4.990432586778736,6.095824562432225,5.40737603035393,4.8857868117109655,5.467970933760723,5.487902527990179
KTHJ08-P04_T3,5.0369526024136295,5.43372200355424,5.441487128298316,5.0518140172519015,5.537352383154895,5.53338948872752
KTHJ08-P20_T2,4.852030263919617,5.267858159063328,5.15207702584938,3.9210021368131045,5.458812270464819,5.278114659230517
KTHJ08-P04_T2,4.955827057601261,5.455321115357702,5.565824159468285,5.019773725107301,5.6728148238490075,5.5134287461649825
KTHJ08-P21_T2,5.111987788356544,5.5909869805108565,5.378804946303527,4.948029453757071,5.616682716313571,5.563560713245902
KTHJ08-P12_T3,4.955827057601261,5.5093883366279774,5.41122069217994,4.94649043165669,5.431356257023699,5.423846262929124
KTHJ08-P22_T3,4.962844630259907,5.537334267018537,5.5159457327147905,4.962578517429228,5.566940719011015,5.544198969649278
KTHJ08-P07_T2,5.087596335232384,5.780743515792329,5.7460394849116385,5.418722022446811,6.155662873660214,5.702113024023443
KTHJ08-P01_T3,4.955827057601261,5.488937726156687,5.210872531935346,4.973554841557365,5.509260998394312,5.477507394784131
KTHJ08-P18_T2,4.762173934797756,5.3612921657094255,5.400160305455634,4.8057920538669485,5.495397136985756,5.231108616854587
KTHJ08-P06_T1,5.056245805348308,5.82600010738045,5.503479107452408,5.134987207355643,5.586639120840747,5.655991810819852
KTHJ08-P15_T3,5.147494476813453,6.285998094508865,5.798097634801902,5.588456372714804,6.569406449337988,5.804374029776972
