StudySession,LogKBI,LogPUB,GMM_Threshold_LogIKI
BML12-P01_T1,4.8283137373023015,5.14166355650266,5.482459096762353
BML12-P31_T3,5.147494476813453,6.274762021241939,6.19907743092856
BML12-P26_T1,4.948759890378168,5.7430031878094825,5.707721561005924
BML12-P26_T2,4.948759890378168,5.579729825986222,5.635589465680328
BML12-P31_T5,5.147494476813453,6.274762021241939,6.033940038872117
BML12-P24_T4,5.455321115357702,5.521460917862246,5.6079553598172645
BML12-P22_T2,4.8283137373023015,5.236441962829949,5.180060644529771
BML12-P28_T5,4.8283137373023015,5.049856007249537,5.267641805279602
CET6-P21_T02,5.583496308781699,6.436150368369428,6.264988511781216
CET6-P18_T02,6.042632833682381,6.148468295917647,6.137967672789941
CET6-P21_T03,5.521460917862246,6.411818267709897,6.071071038302224
CET6-P18_T01,6.113682179832232,6.331501849893691,6.279574890803763
CET6-P01_T03,5.521460917862246,6.302618975744905,6.024724137924425
CET6-P05_T02,5.389071729816501,5.8805329864007,5.715138322564605
CET6-P21_T01,5.384495062789089,6.461468176353717,5.96433407706057
CET6-P05_T01,5.313205979041787,6.180016653652572,5.700682095158474
CET6-P18_T03,5.966146739123692,6.2422232654551655,6.0980033150842985
CET6-P03_T03,6.484635235635252,6.679599185844383,6.703203516683757
CET6-P01_T02,5.521460917862246,6.385194398997726,5.9857328170447595
CET6-P12_T03,6.07993319509559,6.461468176353717,6.629338640025099
CET6-P05_T03,5.389071729816501,5.924255797414532,5.760894684558569
CET6-P02_T01,5.8377304471659395,6.07993319509559,6.038636791046436
CET6-P12_T02,6.182084906716632,6.597145701886651,0.008520531298845266
CET6-P12_T01,6.113682179832232,6.508769136971682,6.653004104151499
CET6-P03_T02,6.459904454377535,6.790097235513905,0.009266377569468763
CET6-P19_T01,5.883322388488279,6.212606095751519,6.301709182250031
CET6-P02_T03,6.0063531596017325,6.274762021241939,6.190929211474497
CET6-P03_T01,6.411818267709897,6.7357800142423265,6.834039189443468
CET6-P06_T01,5.8377304471659395,6.331501849893691,5.864934496523809
CET6-P04_T01,5.231108616854587,6.042632833682381,5.6391584242592785
CET6-P04_T03,5.313205979041787,5.840641657373398,5.489411205697263
CET6-P13_T01,7.023758954738443,7.429520842786462,6.899888635680485
CET6-P07_T03,6.07993319509559,6.244166900663736,3.420918676121189
CET6-P02_T02,6.115892125483034,6.461468176353717,6.251660934385195
CET6-P10_T01,6.508769136971682,6.905753276311464,6.870796955619769
CET6-P13_T03,7.037905963447182,7.3727463664043285,6.355403826956606
CET6-P22_T02,6.331501849893691,6.410174881966167,6.200209896595849
CET6-P22_T01,6.461468176353717,6.617402977974478,5.415227948534387
CET6-P11_T02,6.148468295917647,6.618738983517219,6.398892721051713
CET6-P16_T02,5.883322388488279,6.807934943699926,5.920850135392929
CET6-P10_T03,6.508769136971682,7.023758954738443,7.100331876429417
CET6-P16_T01,5.7430031878094825,6.790097235513905,6.005437589196849
CET6-P04_T02,5.147494476813453,6.077642243349034,0.007252424272235014
CET6-P13_T02,7.037905963447182,7.56734567601324,5.317996240175606
CET6-P17_T01,6.507277712385012,7.064759027791802,6.595744858420149
CET6-P09_T02,5.638354669333745,7.010311867307229,6.292478157828684
CET6-P11_T03,6.113682179832232,6.530877627725885,6.34440207722213
CET6-P08_T02,6.212606095751519,6.841615476477592,6.481895991155184
CET6-P17_T03,6.244166900663736,7.177782416195197,6.490592725155606
CET6-P22_T03,6.244166900663736,6.436150368369428,2.399650335256907
CET6-P17_T02,6.302618975744905,7.509335266016592,6.1948552360501195
